"advisor_raw","n_tesis","n_programas","anio_min","anio_max","programas","ejemplo_titulo","advisor_canonical_sugerido","metodo_sugerencia","notas"
"Dr. José Antonio Crespo Mendoza",3,1,2008,2013,"Ciencia Política y Relaciones Internacionales","Continuidad y alternancia electoral en los gobiernos municipales del Estado de México","José Antonio Crespo Mendoza","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Julio César Leal Ordóñez",3,1,2013,2013,"Economía","Asignación ineficiente en una economía de insumo-producto y distorsiones: el caso de México","Julio César Leal Ordóñez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Julio Ríos-Figueroa",3,2,2009,2019,"Ciencia Política | Ciencia Política y Relaciones Internacionales","¿Protagonismo ante las cámaras de TV?: deliberación pública y disenso judicial en la Suprema Corte Mexicana, 1998-2012","Julio Antonio Ríos Figueroa","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Luis Felipe Barrón Córdova",3,2,2009,2018,"Derecho | Historia Internacional","El procedimiento de reformas a la constitución y el principio de soberanía","Luis Felipe Barrón Córdova","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Pedro I. Hancevic",3,3,2023,2025,"Economía Ambiental | Métodos para el Análisis de Políticas Públicas | Políticas Públicas","Going solar: motivators, barriers, and enablers to residential photovoltaic system adoption in Mexico","Pedro Ignacio Hancevic","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rafael Rojas Gutiérrez",3,1,2016,2018,"Historia Internacional","""Dejar el casco antiguo"": dos casos de modernización urbana en América Latina: Lima y la Ciudad de México, 1895-1910","Rafael Elías Rojas Gutiérrez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Raúl Pacheco Vega",3,3,2016,2018,"Administración y Políticas Públicas | Gerencia Pública | Periodismo y Asuntos Públicos","Valor público en la televisión infantil","Raúl Pacheco Vega","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Ricardo Alejandro Smith Ramírez",3,1,2008,2009,"Economía","Efecto del estrato social sobre los retornos a la educación: el caso mexicano","Ricardo Alejandro Smith Ramírez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Ricardo Smith Ramírez",3,1,2008,2009,"Economía","Estimación de eficiencia hospitalaria a través de fronteras estocásticas","Ricardo Alejandro Smith Ramírez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Allison Rowland",3,1,2009,2019,"Administración y Políticas Públicas","Alternativas de desarrollo de los servicios relacionados con agua potable en municipios pequeños y medianos","Allison Rowland","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Allyson L. Benton",3,2,2004,2021,"Ciencia Política | Ciencia Política y Relaciones Internacionales","Los poderes partidarios de los ejecutivos en América Latina","Allyson Lucinda Benton","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Ana Elena Fierro Ferráez",3,2,2021,2022,"Administración y Políticas Públicas | Derecho","La implementación del Servicio Profesional de Carrera en los Centros de Conciliación Laborales: un análisis cualitativo desde el enfoque de la comunicación","Ana Elena Fierro Ferráez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Angélica María Ospina Escobar",3,1,2021,2023,"Políticas Públicas","Muertes maternas en México durante COVID-19","Angélica María Ospina Escobar","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Camila Pastor de María y Campos",3,1,2014,2022,"Historia Internacional","Visiones de la India: interpretaciones institucionalistas mexicanas sobre la India (1920-1988)","Camila Pastor De María Y Campos","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Catalina Pérez Correa",3,2,2019,2021,"Derecho | Periodismo sobre Políticas Púbicas","Crisis penitenciaria, la política pública olvidada","Catalina Pérez Correa","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Daniela Alejandra Moctezuma Ochoa",3,1,2023,2025,"Métodos para el Análisis de Políticas Públicas","Classification of public procurement procedures based on red flags with a machine learning approach for the detection of possible risk of corruption","Daniela Alejandra Moctezuma Ochoa","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Elena Sánchez-Montijano",3,1,2021,2025,"Ciencia Política y Relaciones Internacionales","La agenda de género en la Cooperación-Sur-Sur: un análisis de la capacidad de actuación de las organizaciones de la sociedad civil mexicanas","Elena Sánchez Montijano","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Guadalupe González González",3,1,2005,2009,"Ciencia Política y Relaciones Internacionales","La eficacia del régimen de sanciones del Consejo de Seguridad de Naciones Unidas en Angola","Guadalupe González González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Jimena Hernández Fernández",3,2,2017,2024,"Ciencia Política y Relaciones Internacionales | Políticas Públicas","¿Quién asciende de cargo en el servicio profesional docente?: reconceptualización del mérito y cambios político-organizacionales de la carrera magisterial en México","Jimena Hernández Fernández","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Joy Langston",3,1,2006,2020,"Ciencia Política y Relaciones Internacionales","Efectos de la política sobre inversión: condiciones políticas estatales en México para incentivar la inversión privada, 1994-2004","Joy Kathryn Langston Hawkes","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Laura Sour",3,1,2003,2009,"Administración y Políticas Públicas","Evaluación del programa de grupos de ahorro y préstamo (GAP's): un estudio comparativo entre la Ciudad de México y el Estado de Morelos","Laura Sour","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Lucrecia Santibáñez Martínez",3,1,2007,2009,"Administración y Políticas Públicas","La implementación del Programa Nacional de Financiamiento al Microempresario","Lucrecia Santibáñez Martínez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. María del Carmen Pardo López",3,1,2012,2016,"Gerencia Pública","Regulacion de los servicios de desarrollo infantil temprano en México","María Del Carmen Pardo López","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Ximena Medellín Urquiaga",3,1,2017,2025,"Derecho","El reconocimiento de la titularidad de derechos humanos por personas morales en México","Ximena María Medellín Urquiaga","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Javier Cruz Angulo Nobara",3,1,2008,2013,"Derecho","La posibilidad de someter a control jurisdiccional el proceso de reformas a la Constitución en México","Javier Cruz Angulo Nobara","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Mtra. Estefanía Vela Barba",3,1,2016,2019,"Derecho","Documentos de identificación: requisitos mínimos del procedimiento administrativo para adecuar el sexo a la identidad de género","Estefanía Vela Barba","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Mtra. Guadalupe González González",3,1,2006,2015,"Ciencia Política y Relaciones Internacionales","Violencia contra cultura: dos expresiones nacionalistas, los nacionalismos vasco y catalan bajo del franquismo (1938-1975)","Guadalupe González González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Mtro. Gerardo Maldonado Hernández",3,1,2013,2014,"Ciencia Política y Relaciones Internacionales","La diferencia entre el voto interno y externo en perspectiva comparada: los efectos de la información, las redes transnacionales y las restricciones en las preferencias del votante","Gerardo De Jesús Maldonado Hernández","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Mtro. Guillermo M. Cejudo Ramírez",3,1,2008,2009,"Administración y Políticas Públicas","La implementación de programas públicos a través de redes de política en los municipios mexicanos: dos casos de estudio","Guillermo Miguel Cejudo Ramírez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Alejandro Posadas Urtusuástegui",2,1,2006,2008,"Derecho","Interpretación de la cláusula de anulación y menoscabo en casos sin infracción","Alejandro Posadas Urtusuástegui","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Andreas Schedler",2,1,2004,2010,"Ciencia Política y Relaciones Internacionales","La confianza en las instituciones políticas y el desempeño democrático en México","Andreas Paul Schedler","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Antonio Ortiz-Mena López-Negrete",2,1,2007,2007,"Ciencia Política y Relaciones Internacionales","Determinación de las preferencias nacionales en torno al área de libre comercio de las Americas (ALCA)","Antonio Ortiz Mena López Negrete","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Arturo Antón Sarabia",2,1,2006,2022,"Economía","Implicaciones del uso de bandas en la formulación de un esquema de inflation targeting: problemas de monitoreo","Arturo Antón Sarabia","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Arturo C. Sotomayor Velázquez",2,1,2007,2007,"Ciencia Política y Relaciones Internacionales","El divorcio de terciopelo y el divorcio de hierro: un estudio comparado sobre los ultimos años de Checoslovaquia y Yugoslavia","Arturo C Sotomayor Velázquez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Claudia Maldonado Trujillo",2,2,2014,2021,"Administración y Políticas Públicas | Periodismo sobre Políticas Púbicas","Consideraciones para la instrumentación de una red de protección social en México siguiendo el modelo Chile solidario: reporte de política pública","Claudia Vanessa Maldonado Trujillo","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"David Arellano Gault",2,2,2007,2021,"Administración y Políticas Públicas | Periodismo sobre Políticas Púbicas","Estudio organizacional del Subprograma Fomento a la Inversión y Capitalización: el caso de Jalisco","David Arellano Gault","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Adán L. Martínez Cruz",2,2,2020,2023,"Administración y Políticas Públicas | Economía Ambiental","Estimación del beneficio de mejorar el servicio de provisión de agua como insumo para políticas públicas: el caso de Nezahualcóyotl, Estado de México","Adán Leobardo Martínez Cruz","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Adán Leobardo Martínez Cruz",2,2,2019,2021,"Economía Ambiental | Políticas Públicas","Valoración de un sistema de préstamo de bicicletas en la Feria Nacional de San Marcos","Adán Leobardo Martínez Cruz","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Arturo Borja Tamayo",2,2,2008,2009,"Ciencia Política y Relaciones Internacionales | Economía y Política Internacional","El sistema mexicano sobre prácticas comerciales internacionales: las medidas antidumping","Arturo Borja Tamayo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Arturo C. Sotomayor Velázquez",2,1,2008,2008,"Ciencia Política y Relaciones Internacionales","Derrota de grandes potencias en guerras asimétricas","Arturo C Sotomayor Velázquez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Benito Nacif Hernández",2,1,2006,2007,"Ciencia Política y Relaciones Internacionales","Efecto de la experiencia sobre el desempeño legislativo: el caso de la LVIII Legislatura en México","Benito Nacif Hernández","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Brasil Acosta Peña",2,1,2011,2011,"Economía","Estimación de la función de costos de maíz de grano en México un modelo de frontera estocástica","Brasil Alberto Acosta Peña","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Brasil Alberto Acosta Peña",2,1,2012,2012,"Economía","Identificación y estimación de juegos discretos con información completa: un modelo de la entrada de empresas en el mercado de las tiendas departamentales","Brasil Alberto Acosta Peña","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Elizondo Mayer-Serra",2,2,2010,2014,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales","Estrategias legislativas del Presidente de la República: estudio de caso para gobierno dividido 2000-2006","Carlos Elizondo Mayer Serra","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Enrique García Tejeda",2,1,2025,2026,"Derecho","Protección de la niñez y de las personas con discapacidad intelectual: un estudio empírico de las sentencias en formato de lectura fácil","Carlos Enrique García Tejeda","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Heredia Zubieta",2,1,2018,2024,"Ciencia Política y Relaciones Internacionales","Límites humanitarios: la crisis de saturación en los albergues para personas migrantes en la Ciudad de México","Carlos Antonio Heredia Zubieta","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Carlos Javier Vilalta Perdomo",2,2,2013,2015,"Ciencia Política y Relaciones Internacionales | Políticas Públicas","Por qué la gente se siente insegura en el espacio público?: la política pública de prevención situacional del delito","Carlos Javier Vilalta Perdomo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Chad Kiewiet de Jonge",2,1,2015,2015,"Ciencia Política y Relaciones Internacionales","¿Quién recibe qué y qué tanto importa?: ofertas clientelares y comportamiento electoral en las elecciones presidenciales de 2012","Chad Kiewiet De Jonge","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Daniel Kent Carrasco",2,1,2022,2022,"Historia Internacional","La representación de la desintegración del Imperio Otomano (1920-1922), y la nacionalización del Canal de Suez (julio-agosto de 1956) en el Universal y Excélsior","Daniel Kent Carrasco","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Eduardo Martínez Chombo",2,1,2018,2019,"Economía","Competencia en precios en el mercado de refrescos de cola","Eduardo Martínez Chombo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Farid Kahhat Kahatt",2,1,2005,2005,"Ciencia Política y Relaciones Internacionales","Las tres caras de la invasión a Irak","Farid Kahhat Kahatt","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Fernando Alarid-Escudero",2,2,2021,2021,"Administración y Políticas Públicas | Métodos para el Análisis de Políticas Públicas","Short-run effects of COVID-19 pandemic on the labor market dynamics in Mexico","Fernando Alarid Escudero","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Florian Wendelspiess Chávez-Juárez",2,1,2016,2019,"Economía","Desigualdad de oportunidades en educación e ingresos laborales en México","Florian Wendelspiess Chávez Juárez","clave_de_alias","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gabriel L. Negretto Pérez",2,1,2009,2011,"Ciencia Política y Relaciones Internacionales","Cambio y persistencia de los sistemas de partidos en América Latina: un análisis comparado de Argentina, México y Venezuela","Gabriel L Negretto Pérez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gabriel Purón-Cid",2,2,2022,2023,"Administración y Políticas Públicas | Gestión Pública","Determinantes contextuales de la recaudación tributaria estatal: 2010-2019","Gabriel Purón Cid","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gerardo Sánchez Nateras",2,1,2025,2025,"Ciencia Política y Relaciones Internacionales","De la represión a la vigilancia, del autoritarismo a la democracia: evolución de la inteligencia en México","Gerardo Sánchez Nateras","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gilles Serra Baños",2,1,2014,2014,"Ciencia Política y Relaciones Internacionales","El PRI y sus gobernadores: disciplina partidista de los mandatarios estatales durante el proceso de negociación de la reforma energética de 2008","Gilles Serra Baños","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Guillermo Cejudo",2,2,2018,2024,"Ciencia Política y Relaciones Internacionales | Políticas Públicas","Oportunidades para migrar: efecto del programa de Desarrollo Humano Oportunidades en la propensión a migrar de los beneficiarios","Guillermo Miguel Cejudo Ramírez","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Gustavo Javier Fondevila Pérez",2,1,2019,2025,"Derecho","La fragmentación jurídica y el militarismo en la aviación civil mexicana: un análisis crítico","Gustavo Javier Fondevila Pérez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Héctor Manuel Bravo Pérez",2,1,2010,2016,"Administración y Políticas Públicas","Oportunidades: impacto regional sobre la escolaridad de los beneficiarios del Programa 1997-2002","Héctor Manuel Bravo Pérez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Itza Tlaloc Quetzalcoatl Curiel Cabral",2,1,2021,2022,"Administración y Políticas Públicas","Categorización del bienestar subjetivo a partir de las dimensiones de salud, socioeconómicas, laborales y familiares","Itza Tláloc Quetzalcóatl Curiel Cabral","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Itza Tláloc Quetzalcóatl Curiel Cabral",2,1,2017,2018,"Administración y Políticas Públicas","La economía informal en las microempresas mexicanas. Causas, soluciones sin impacto y recomendaciones para el futuro","Itza Tláloc Quetzalcóatl Curiel Cabral","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Javier Aparicio Castillo",2,1,2006,2010,"Ciencia Política y Relaciones Internacionales","De urnas, políticos y ciudadanos: el impacto de la competencia electoral en el desempeño gubernamental de los estados en México, 1989-2002","Javier Aparicio Castillo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Javier Sánchez Reaza",2,1,2005,2006,"Administración y Políticas Públicas","El TLCAN y el desempeño económico regional: ¿qué ha ocurrido en Michoacán?","Javier Sánchez Reaza","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Jean André Joseph Meyer Barth",2,1,2018,2018,"Historia Internacional","La nueva extrema derecha en Alemania, de 2015 a 2018: los casos de PEGIDA y AfD","Jean André Joseph Meyer Barth","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. José Ramón Gil-García",2,2,2010,2013,"Administración y Políticas Públicas | Periodismo y Asuntos Públicos","La ausencia del rigor periodístico en la construcción de la nota principal de seis periódicos de la ciudad de Oaxaca","José Ramón Gil García","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Juan Fernando Ibarra del Cueto",2,2,2013,2017,"Administración y Políticas Públicas | Políticas Públicas","Incidencia de la autonomía financiera, las capacidades administrativas y el diseño institucional en la contratación de deuda pública municipal","Juan Fernando Ibarra Del Cueto","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Julio Antonio Ríos Figueroa",2,1,2012,2018,"Ciencia Política y Relaciones Internacionales","Entre gritos y balazos: la opinión pública y la procuración de justicia en México","Julio Antonio Ríos Figueroa","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Kólver Hernández",2,1,2009,2009,"Economía","Choques petroleros en la economía mexicana","Kólver Hernández","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Luis Barrón Córdova",2,1,2014,2014,"Historia Internacional","No te pongas bravo, poeta... Roque Dalton: el intelectual y la revolución en América Latina en 1960 y 1970","Luis Felipe Barrón Córdova","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Luis de la Calle",2,2,2014,2020,"Ciencia Política | Ciencia Política y Relaciones Internacionales","Narcoviolencia en México: elecciones, geografía y cárteles","Luis De La Calle","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mariano Sánchez Talanquer",2,2,2020,2021,"Ciencia Política | Ciencia Política y Relaciones Internacionales","La oscuridad provincial: un análisis sobre la desigualdad económica regional y la centralización política","Mariano Sánchez Talanquer","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mariano Sánchez-Talanquer",2,2,2021,2024,"Ciencia Política | Ciencia Política y Relaciones Internacionales","La otra pandemia: la COVID-19 en la mortalidad de los pueblos indígenas","Mariano Sánchez Talanquer","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio Dussauge Laguna",2,2,2015,2019,"Administración y Políticas Públicas | Periodismo y Asuntos Públicos","El uso de las herramientas del Programa Movimiento contra el Abandono Escolar: un estudio de caso exploratorio del profesorado de educación media superior","Mauricio Iván Dussauge Laguna","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio I. Dussauge Laguna",2,2,2019,2024,"Periodismo sobre Políticas Púbicas | Políticas Públicas","Salud mental pública, suicidios en el metro de la Ciudad de México: el club de los arrolladores","Mauricio Iván Dussauge Laguna","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Mauricio Ivan Dussauge Laguna",2,2,2018,2021,"Administración y Políticas Públicas | Políticas Públicas","El uso de la información para la mejora del desempeño: análisis del Sistema de Evaluación del Desempeño en México","Mauricio Iván Dussauge Laguna","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Michael Johannes Sauter Mistele",2,1,2010,2011,"Ciencia Política y Relaciones Internacionales","Definición, origen y término de la détente","Michael Johannes Sauter Mistele","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Michael K. Bess",2,2,2020,2024,"Historia Aplicada | Historia Internacional","La propaganda informal anti comunista estadunidense durante la década de 1960: los casos de Thor, Iron Man, The Hulk, Fantastic Four y The Amazing Spider Man, 1961-1966","Michael K Bess","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Michael Kirkland Bess",2,2,2020,2023,"Ciencia Política y Relaciones Internacionales | Historia Internacional","Electrificación: infraestructura de las compañías eléctricas en los estados de Hidalgo y Jalisco (1880 - 1916)","Michael Kirkland Bess","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Nelson Omar Muriel Torrero",2,1,2021,2021,"Economía","Estimación del PIB potencial mediante diversos métodos: comparación y evaluación","Nelson Omar Muriel Torrero","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Pablo Kalmanovitz González",2,2,2018,2022,"Ciencia Política | Ciencia Política y Relaciones Internacionales","The institutionalization of the right to truth in Mexico: effects of the Interamerican System of Human Rights","Pablo Kalmanovitz González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rafael Elías Rojas Gutiérrez",2,1,2014,2018,"Historia Internacional","Los motivos de don Genaro: la formulación de la doctrina Estrada en 1930","Rafael Elías Rojas Gutiérrez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rafael Velazquez Flores",2,1,2009,2009,"Ciencia Política y Relaciones Internacionales","El congreso y el ejecutivo frente a los objetivos de política comercial del TLCAN en materia de subsidio a la agricultura en el presupuesto entre 1997 y 2007","Rafael Velazquez Flores","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Rodolfo Sarsfield Escobar",2,2,2008,2010,"Administración y Políticas Públicas | Ciencia Política y Relaciones Internacionales","¿Legislando o haciendo política pública? La participación activa del Congreso Federal mexicano en el proceso de formulación de políticas públicas: análisis de caso de la Política de Prevención, Atención, Sanción y Erradicación de la Violencia Contra Mujeres","Rodolfo Sarsfield Escobar","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Sergio Alonso Campos González",2,1,2024,2025,"Políticas Públicas","De lo oneroso a lo eficiente: la experiencia burocrática de cineastas ante la implementación del programa público FOCINE en México","Sergio Alonso Campos González","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dr. Víctor Antonio Hernández Huerta",2,2,2023,2024,"Ciencia Política | Ciencia Política y Relaciones Internacionales","Toma de decisiones en contexto de incertidumbre política: un estudio de la clase empresarial industrial argentina","Víctor Antonio Hernández Huerta","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Adriana Aguilar Rodríguez",2,2,2018,2025,"Gerencia Pública | Métodos para el Análisis de Políticas Públicas","El papel de las redes en la generación de capital social a través de los programas sociales federales: el caso del Programa 3x1 para Migrantes en Aguascalientes, México","Adriana Aguilar Rodríguez","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Allyson Benton",2,1,2005,2005,"Ciencia Política y Relaciones Internacionales","La diferencia en la tasa de cesárea en el sector público y privado en México: reglas y recursos","Allyson Lucinda Benton","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Elizabeth Pérez-Chiqués",2,1,2022,2025,"Administración y Políticas Públicas","Las instituciones del sistema anticorrupción en Brasil: obstáculos en el ámbito de la Operación Lava Jato","Elizabeth Pérez Chiqués","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Grisel Salazar Rebolledo",2,1,2019,2022,"Periodismo sobre Políticas Púbicas","Los 8 millones de olvidados: la omisión del gobierno mexicano en el registro de pacientes con enfermedades raras","María Grisel Salazar Rebolledo","fusion_curada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Iliana Marcela Quintanar Zárate",2,1,2022,2022,"Historia Internacional","Los colores del imperio: el palo de tinte y el free trade inglés, 1648-1675","Iliana Marcela Quintanar Zárate","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Isabel Melguizo",2,1,2020,2025,"Economía","Modelo del coautor con homofilia","Isabel Melguizo","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Ivania de la Cruz Orozco",2,1,2017,2020,"Ciencia Política y Relaciones Internacionales","La mano que mece el pupitre: factores políticos que influyen en el gasto educativo","Ivania De La Cruz Orozco","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Joy Kathryn Langston Hawkes",2,2,2020,2022,"Ciencia Política | Ciencia Política y Relaciones Internacionales","Génesis del nacionalismo de derecha en la América Latina del siglo XXI","Joy Kathryn Langston Hawkes","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Judith Mariscal",2,1,2004,2014,"Administración y Políticas Públicas","Brecha digital en América Latina: hacia una política pública que mitigue las desigualdades digitales","Judith Mariscal","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
"Dra. Judith Mariscal Áviles",2,1,2007,2013,"Administración y Políticas Públicas","Evaluación de los centros comunitarios digitales del sistema nacional e-México como un mecanismo de uso efectivo de la internet en México","Judith Mariscal Avilés","clave_normalizada","Revisar y promover a data-raw/asesores_alias.csv si requiere una fusion adicional"
